STATE,Median Age by State
Alabama,39.2
Alaska,34.6
Arizona,37.9
Arkansas,38.3
California,36.7
Colorado,36.9
Connecticut,41.1
Delaware,41
District of Columbia,34.3
Florida,42.2
Georgia,36.9
Hawaii,39.4
Idaho,36.6
Illinois,38.3
Indiana,37.8
Iowa,38.3
Kansas,36.9
Kentucky,39
Louisiana,37.2
Maine,44.8
Maryland,38.8
Massachusetts,39.6
Michigan,39.8
Minnesota,38.1
Mississippi,37.7
Missouri,38.7
Montana,40.1
Nebraska,36.6
Nevada,38.2
New Hampshire,43
New Jersey,40
New Mexico,38.1
New York,39
North Carolina,38.9
North Dakota,35.2
Ohio,39.5
Oklahoma,36.7
Oregon,39.5
Pennsylvania,40.9
Rhode Island,40
South Carolina,39.7
South Dakota,37.2
Tennessee,38.8
Texas,34.8
Utah,31.1
Vermont,42.8
Virginia,38.4
Washington,37.8
West Virginia,42.7
Wisconsin,39.6
Wyoming,38