STATE,Abortion strictness
Alabama,7
Alaska,3
Arizona,6
Arkansas,7
California,2
Colorado,3
Connecticut,4
DC,3
Delaware,4
Florida,5
Georgia,2
Hawaii,4
Idaho,7
Illinois,3
Indiana,5
Iowa,5
Kansas,5
Kentucky,7
Louisiana,7
Maine,3
Maryland,3
Massachusetts,3
Michigan,4
Minnesota,4
Mississippi,7
Missouri,7
Montana,4
Nebraska,3
Nevada,4
New Hampshire,4
New Jersey,3
New Mexico,3
New York,3
North Carolina,5
North Dakota,5
Ohio,5
Oklahoma,7
Oregon,1
Pennsylvania,5
Rhode Island,4
South Carolina,5
South Dakota,7
Tennessee,7
Texas,7
Utah,5
Vermont,2
Virginia,4
Washington,3
West Virginia,7
Wisconsin,5
Wyoming,4